x_mm,region,flow_radius_mm,flow_area_cm2,area_over_body,area_over_throat,equivalent_radius_mm,station
290.0000,ANNULAR SUBSONIC DIFFUSER,75.13127,85.48343,0.237665,0.813937,52.16342,
291.0000,ANNULAR SUBSONIC DIFFUSER,75.06377,85.88633,0.238785,0.817773,52.28620,
292.0000,ANNULAR SUBSONIC DIFFUSER,74.98926,86.29019,0.239908,0.821618,52.40899,
293.0000,ANNULAR SUBSONIC DIFFUSER,74.90794,86.69498,0.241033,0.825472,52.53177,
294.0000,ANNULAR SUBSONIC DIFFUSER,74.82002,87.10073,0.242161,0.829336,52.65456,
295.0000,ANNULAR SUBSONIC DIFFUSER,74.72570,87.50742,0.243292,0.833208,52.77734,
296.0000,ANNULAR SUBSONIC DIFFUSER,74.62520,87.91506,0.244425,0.837089,52.90013,
297.0000,ANNULAR SUBSONIC DIFFUSER,74.51873,88.32365,0.245561,0.840980,53.02291,
298.0000,ANNULAR SUBSONIC DIFFUSER,74.40650,88.73318,0.246700,0.844879,53.14569,
299.0000,ANNULAR SUBSONIC DIFFUSER,74.28872,89.14366,0.247841,0.848788,53.26848,
300.0000,ANNULAR SUBSONIC DIFFUSER,74.16560,89.55509,0.248985,0.852705,53.39126,
301.0000,ANNULAR SUBSONIC DIFFUSER,74.03736,89.96746,0.250131,0.856632,53.51405,
302.0000,ANNULAR SUBSONIC DIFFUSER,73.90422,90.38079,0.251280,0.860567,53.63683,
303.0000,ANNULAR SUBSONIC DIFFUSER,73.76639,90.79506,0.252432,0.864512,53.75962,
304.0000,ANNULAR SUBSONIC DIFFUSER,73.62409,91.21027,0.253587,0.868465,53.88240,
305.0000,ANNULAR SUBSONIC DIFFUSER,73.47753,91.62644,0.254744,0.872428,54.00519,
306.0000,ANNULAR SUBSONIC DIFFUSER,73.32693,92.04355,0.255903,0.876399,54.12797,
307.0000,ANNULAR SUBSONIC DIFFUSER,73.17251,92.46161,0.257066,0.880380,54.25076,
308.0000,ANNULAR SUBSONIC DIFFUSER,73.01450,92.88062,0.258231,0.884369,54.37354,
309.0000,ANNULAR SUBSONIC DIFFUSER,72.85310,93.30057,0.259398,0.888368,54.49632,
310.0000,ANNULAR SUBSONIC DIFFUSER,72.68854,93.72147,0.260568,0.892376,54.61911,
311.0000,ANNULAR SUBSONIC DIFFUSER,72.52104,94.14332,0.261741,0.896392,54.74189,
312.0000,ANNULAR SUBSONIC DIFFUSER,72.35081,94.56611,0.262917,0.900418,54.86468,
313.0000,ANNULAR SUBSONIC DIFFUSER,72.17808,94.98986,0.264095,0.904453,54.98746,
314.0000,ANNULAR SUBSONIC DIFFUSER,72.00306,95.41455,0.265276,0.908496,55.11025,
315.0000,ANNULAR SUBSONIC DIFFUSER,71.82597,95.84018,0.266459,0.912549,55.23303,
316.0000,ANNULAR SUBSONIC DIFFUSER,71.64703,96.26677,0.267645,0.916611,55.35582,
317.0000,ANNULAR SUBSONIC DIFFUSER,71.46646,96.69430,0.268834,0.920682,55.47860,
318.0000,ANNULAR SUBSONIC DIFFUSER,71.28448,97.12278,0.270025,0.924761,55.60139,
319.0000,ANNULAR SUBSONIC DIFFUSER,71.10129,97.55220,0.271219,0.928850,55.72417,
320.0000,ANNULAR SUBSONIC DIFFUSER,70.91713,97.98258,0.272415,0.932948,55.84695,
321.0000,ANNULAR SUBSONIC DIFFUSER,70.73219,98.41390,0.273614,0.937055,55.96974,
322.0000,ANNULAR SUBSONIC DIFFUSER,70.54669,98.84617,0.274816,0.941171,56.09252,
323.0000,ANNULAR SUBSONIC DIFFUSER,70.36085,99.27938,0.276021,0.945296,56.21531,
324.0000,ANNULAR SUBSONIC DIFFUSER,70.17488,99.71354,0.277228,0.949430,56.33809,
325.0000,ANNULAR SUBSONIC DIFFUSER,69.98897,100.14865,0.278437,0.953572,56.46088,
326.0000,ANNULAR SUBSONIC DIFFUSER,69.80335,100.58471,0.279650,0.957724,56.58366,
327.0000,ANNULAR SUBSONIC DIFFUSER,69.61822,101.02172,0.280865,0.961885,56.70645,
328.0000,ANNULAR SUBSONIC DIFFUSER,69.43377,101.45967,0.282082,0.966055,56.82923,
329.0000,ANNULAR SUBSONIC DIFFUSER,69.25021,101.89857,0.283303,0.970234,56.95202,
330.0000,ANNULAR SUBSONIC DIFFUSER,69.06775,102.33841,0.284526,0.974422,57.07480,
