time_s,chamber_pressure_pa,chamber_temperature_k,inlet_air_mass_flow_kg_per_s,fuel_mass_flow_kg_per_s,exhaust_mass_flow_kg_per_s,gross_thrust_n,inlet_momentum_drag_n,net_thrust_n,phase,event,cycle_count,nozzle_warning
0.2992400000000177,101665.34122446178,1241.3624454959304,0.8709777849025396,0.05332517050423713,0.18570852750143904,9.076173443918425,59.27770078132287,-50.20152733740444,refill,,17,
0.29926000000001773,101666.07018519778,1238.8076385074169,0.8708427319777878,0.05331690195782375,0.1861000354045109,9.095655327754121,59.268509241651195,-50.17285391389707,refill,,17,
0.29928000000001775,101666.79821788342,1236.265195378013,0.8707078280281065,0.053308642532333056,0.18649114714858622,9.115112293285845,59.25932784104369,-50.144215547757845,refill,,17,
0.2993000000000178,101667.52532410006,1233.7350266358674,0.8705730728377876,0.053300392214558436,0.18688186333437495,9.134544383184178,59.25015656481953,-50.11561218163535,refill,,17,
0.2993200000000178,101668.25150542676,1231.2170436706378,0.8704384661912425,0.053292150991300566,0.18727218456131148,9.15395164005422,59.240995398306,-50.08704375825178,refill,,17,
0.2993400000000178,101668.97676344022,1228.7111587231457,0.8703040078730895,0.05328391884937283,0.1876621114276839,9.17333410644766,59.23184432684448,-50.05851022039682,refill,,17,
0.29936000000001783,101669.70109971489,1226.2172848751811,0.870169697668154,0.05327569577560127,0.18805164453041862,9.19269182484101,59.22270333579046,-50.03001151094945,refill,,17,
0.29938000000001785,101670.42451582279,1223.7353360394543,0.8700355353614375,0.05326748175682271,0.18844078446533294,9.212024837659774,59.2135724105114,-50.00154757285162,refill,,17,
0.2994000000000179,101671.14701333358,1221.265226949688,0.8699015207381341,0.05325927677988576,0.188829531826944,9.231333187259125,59.20445153638785,-49.973118349128725,refill,,17,
0.2994200000000179,101671.86859381465,1218.8068731508563,0.8697676535836859,0.05325108083165424,0.18921788720847482,9.250616915923876,59.19534069881727,-49.94472378289339,refill,,17,
0.2994400000000179,101672.58925883085,1216.360190989557,0.8696339336836657,0.05324289389899994,0.1896058512020576,9.269876065887857,59.18623988320601,-49.91636381731815,refill,,17,
0.29946000000001793,101673.30900994473,1213.9250976045241,0.8695003608239187,0.05323471596881135,0.18999342439846814,9.289110679307276,59.177149074978935,-49.88803839567166,refill,,17,
0.29948000000001795,101674.0278487165,1211.5015109172748,0.8693669347904611,0.05322654702798742,0.1903806073873044,9.308320798277675,59.16806825957258,-49.8597474612949,refill,,17,
0.299500000000018,101674.74577670373,1209.089349622885,0.8692336553695361,0.053218387063440994,0.19076740075699242,9.327506464833935,59.1589974224389,-49.83149095760497,refill,,17,
0.299520000000018,101675.46279546179,1206.6885331809015,0.8691005223476133,0.05321023606209877,0.1911538050946185,9.346667720933295,59.149936549045286,-49.80326882811199,refill,,17,
0.299540000000018,101676.17890654346,1204.2989818063743,0.8689675355113509,0.05320209401089904,0.1915398209861824,9.365804608479603,59.14088562487194,-49.775081016392335,refill,,17,
0.29956000000001803,101676.89411149913,1201.920616461021,0.8688346946476507,0.05319396089679494,0.19192544901638015,9.384917169301506,59.131844635415675,-49.74692746611417,refill,,17,
0.29958000000001805,101677.60841187673,1199.5533588445123,0.8687019995436357,0.05318583670675321,0.19231068976870822,9.404005445162124,59.12281356618831,-49.718808121026186,refill,,17,
0.2996000000000181,101678.32180922171,1197.1971313858792,0.8685694499866496,0.053177721427754066,0.19269554382546888,9.423069477759078,59.11379240271674,-49.69072292495766,refill,,17,
0.2996200000000181,101679.03430507705,1194.8518572350401,0.8684370457642585,0.05316961504679134,0.19308001176780037,9.442109308726883,59.10478113054294,-49.662671821816055,refill,,17,
0.2996400000000181,101679.74590098325,1192.5174602544462,0.868304786664274,0.05316151755087393,0.1934640941755332,9.46112497962243,59.09577973522565,-49.63465475560322,refill,,17,
0.29966000000001813,101680.45659847824,1190.1938650108427,0.8681726724747229,0.05315342892702385,0.19384779162741836,9.48011653194678,59.08678820233821,-49.606671670391435,refill,,17,
0.29968000000001815,101681.16639909758,1187.880996767144,0.8680407029838709,0.05314534916227781,0.19423110470088467,9.499084007120945,59.07780651747026,-49.57872251034931,refill,,17,
0.2997000000000182,101681.8753043742,1185.5787814744206,0.8679088779802239,0.05313727824368718,0.19461403397226654,9.518027446507698,59.06883466622773,-49.55080721972003,refill,,17,
0.2997200000000182,101682.58331583858,1183.2871457639967,0.8677771972525276,0.05312921615831802,0.19499658001663553,9.536946891394592,59.05987263423294,-49.522925742838346,refill,,17,
0.2997400000000182,101683.29043501872,1181.0060169396581,0.8676456605897607,0.053121162893250654,0.1953787434079288,9.555842383006082,59.050920407124025,-49.495078024117944,refill,,17,
0.29976000000001823,101683.9966634399,1178.735322969963,0.867514267781143,0.05311311843558019,0.1957605247188799,9.574713962496277,59.041977970555536,-49.46726400805926,refill,,17,
0.29978000000001825,101684.70200262508,1176.4749924806626,0.8673830186161523,0.05310508277241749,0.19614192452099832,9.59356167094648,59.033045310199576,-49.4394836392531,refill,,17,
0.2998000000000183,101685.4064540946,1174.2249547472218,0.8672519128845004,0.053097055890887784,0.19652294338467344,9.612385549374908,59.0241224117442,-49.411736862369295,refill,,17,
0.2998200000000183,101686.11001936617,1171.9851396874435,0.8671209503761499,0.05308903777813163,0.19690358187908005,9.631185638727002,59.015209260894494,-49.38402362216749,refill,,17,
0.2998400000000183,101686.81269995506,1169.7554778541935,0.866990130881323,0.05308102842130549,0.19728384057220727,9.649961979877826,59.00630584337326,-49.35634386349544,refill,,17,
0.29986000000001833,101687.51449737392,1167.535900428221,0.866859454190462,0.05307302780757931,0.19766372003091268,9.668714613636926,58.99741214491822,-49.32869753128129,refill,,17,
0.29988000000001835,101688.21541313286,1165.3263392110819,0.8667289200942846,0.05306503592413988,0.19804322082085232,9.687443580741059,58.98852815128591,-49.30108457054485,refill,,17,
0.2999000000000184,101688.91544873938,1163.1267266181505,0.8665985283837782,0.0530570527581905,0.19842234350653484,9.706148921859048,58.979653848251154,-49.27350492639211,refill,,17,
0.2999200000000184,101689.61460569846,1160.9369956717317,0.8664682788501514,0.05304907829694805,0.1988010886513005,9.724830677589352,58.97078922160388,-49.24595854401453,refill,,17,
0.2999400000000184,101690.31288551242,1158.7570799942623,0.8663381712848905,0.053041112527646365,0.19917945681730104,9.743488888457636,58.96193425715288,-49.21844536869525,refill,,17,
0.29996000000001843,101691.01028968109,1156.5869138016044,0.8662082054797526,0.05303315543753588,0.1995574485655528,9.762123594921617,58.9530889407254,-49.19096534580378,refill,,17,
0.29998000000001845,101691.70681970162,1154.426431896428,0.8660783812267253,0.05302520701388115,0.1999350644559413,9.780734837371083,58.944253258164366,-49.16351842079328,refill,,17,
0.3000000000000185,101692.40247706861,1152.2755696616832,0.8659486983180842,0.05301726724396434,0.20031230504717534,9.799322656123028,58.9354271953323,-49.13610453920927,refill,,17,
0.3000200000000185,101693.09726327407,1150.134263054158,0.8658191565463446,0.05300933611508232,0.20068917089679134,9.817887091421651,58.92661073810805,-49.1087236466864,refill,,17,
0.3000400000000185,101693.79117980745,1148.0024485981226,0.8656897557043024,0.05300141361454913,0.20106566256120642,9.836428183443223,58.91780387238956,-49.08137568894634,refill,,17,
0.30006000000001853,101694.48422815546,1145.880063379057,0.8655604955850263,0.0529934997296955,0.2014417805957224,9.854945972296052,58.909006584093326,-49.054060611797276,refill,,17,
