altitude_m,peak_mach,body_diameter_m,geometrically_scaled_body_length_m,fixed_intake_diameter_m,flow_matched_throat_diameter_m,available_radial_clearance_m,throat_packageable_without_radial_allowance,geometrically_scaled_drag_area_target_m2,target_drag_n,full_throttle_ramjet_net_thrust_n,full_throttle_ramjet_fuel_mass_flow_kg_per_s,full_throttle_fuel_endurance_s,thrust_margin_against_scaled_drag_target_n,propulsion_supported_drag_area_m2,drag_area_reduction_required_fraction,can_hold_peak_mach_against_scaled_drag_target,peak_mach_hold_throttle_fraction,fuel_limited_peak_mach_hold_duration_s,fuel_limited_peak_mach_hold_distance_m,ramjet_speed_run_fuel_budget_kg,status,numerical_reference_only
4500.0,1.1,0.255,2.8609756097560974,0.195,0.22290187996654248,0.01604906001672876,True,0.015443437499999999,755.1203153400807,1773.263751866528,0.14919276259977693,9.383833207483573,1018.1434365264474,0.03626612523413944,0.0,True,0.42583643552474637,22.036238387915624,7818.8185891381745,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.26,2.9170731707317072,0.195,0.22290187996654248,0.018549060016728763,True,0.016055,785.0231959552397,1773.263751866528,0.14919276259977693,9.383833207483573,988.2405559112884,0.03626612523413944,0.0,True,0.44269962385963646,21.196840254056408,7520.986372170262,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.265,2.973170731707317,0.195,0.22290187996654248,0.021049060016728766,True,0.0166784375,815.5067150289453,1773.263751866528,0.14919276259977693,9.383833207483573,957.7570368375827,0.03626612523413944,0.0,True,0.45989025274471845,20.404505534698657,7239.853026111922,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.27,3.029268292682927,0.195,0.22290187996654248,0.023549060016728768,True,0.017313750000000003,846.5708725611979,1773.263751866528,0.14919276259977693,9.383833207483573,926.6928793053302,0.03626612523413944,0.0,True,0.47740832217999263,19.655780537369175,6974.193124262134,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.275,3.0853658536585367,0.195,0.22290187996654248,0.02604906001672877,True,0.0179609375,878.2156685519969,1773.263751866528,0.14919276259977693,9.383833207483573,895.0480833145311,0.03626612523413944,0.0,True,0.4952538321654586,18.94752266015489,6722.891619949882,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.27999999999999997,3.141463414634146,0.195,0.22290187996654248,0.028549060016728744,True,0.01861999999999999,910.4411030013425,1773.263751866528,0.14919276259977693,9.383833207483573,862.8226488651856,0.03626612523413944,0.0,True,0.5134267827011165,18.276867361915997,6484.932127024363,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.285,3.197560975609756,0.195,0.22290187996654248,0.031049060016728747,True,0.019290937499999997,943.2471759092357,1773.263751866528,0.14919276259977693,9.383833207483573,830.0165759572924,0.03626612523413944,0.0,True,0.531927173786967,17.64119915265267,6259.386626761585,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.29,3.2536585365853656,0.195,0.22290187996654248,0.03354906001672875,True,0.01997374999999999,976.633887275675,1773.263751866528,0.14919276259977693,9.383833207483573,796.6298645908531,0.03626612523413944,0.0,True,0.550755005423009,17.038126054390176,6045.4064061677755,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.295,3.3097560975609754,0.195,0.22290187996654248,0.03604906001672875,True,0.020668437499999998,1010.6012371006616,1773.263751866528,0.14919276259977693,9.383833207483573,762.6625147658665,0.03626612523413944,0.0,True,0.5699102776092434,16.46545706606393,5842.214062151219,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
4500.0,1.1,0.3,3.3658536585365852,0.195,0.22290187996654248,0.03854906001672875,True,0.021374999999999995,1045.1492253841946,1773.263751866528,0.14919276259977693,9.383833207483573,728.1145264823335,0.03626612523413944,0.0,True,0.5893929903456696,15.921182235269042,5649.096430652332,1.4,"[""overexpanded_external_shock_or_separation_not_modeled"", ""fuel_limited_hold_uses_linear_throttle_scaling""]",True
