fuel_key,minimum_cycle_period_s,burn_duration_s,ignition_pressure_ratio_max,target_equivalence_ratio,feasible,completed_cycles,mean_net_thrust_n,peak_net_thrust_n,mean_fuel_mass_flow_kg_per_s,specific_impulse_s,peak_chamber_pressure_pa,peak_chamber_pressure_ratio,peak_chamber_temperature_k,relative_mass_balance_residual,relative_energy_balance_residual
jet_a_reference,0.01,0.004,1.08,1.1,True,16,138.68518003474756,1005.604985530747,0.04347168708963857,325.31409763230045,125159.03278084224,1.2133847403170919,2600.0,-7.086450827770122e-15,2.2861772930642156e-14
jet_a_reference,0.01,0.005,1.01,0.7,True,17,50.59212863925849,349.00997553838016,0.025047485699145243,205.96723536317808,109170.67838866585,1.0583817428409232,1742.0231080088092,-6.2543162721016715e-15,5.3545146581165636e-14
jet_a_reference,0.01,0.005,1.01,0.8,True,16,66.59781022483756,472.0916704286558,0.0296084709922777,229.36296458133958,112043.57877187955,1.0862337756346458,2089.897684295275,2.6224189096125154e-15,3.638662640892222e-14
jet_a_reference,0.01,0.005,1.01,0.9,True,16,89.92452089817724,598.056782678006,0.03341641163731224,274.4085537950337,115042.26432818267,1.1153052634384764,2472.461956946865,-1.5547895983548444e-15,-3.470374908943533e-14
jet_a_reference,0.01,0.005,1.01,1.0,True,15,100.60984112616721,731.4003819700891,0.03847041085126379,266.6815454041764,118281.93213215258,1.1467130123615359,2600.0000000000005,5.662665492140172e-15,-4.9881828293848905e-14
jet_a_reference,0.01,0.005,1.01,1.1,True,15,101.5864867178961,734.0738872948028,0.04225981593128063,245.12503247565962,118347.58006647386,1.147349452256995,2600.0,1.0158846778874973e-14,-6.587207320455173e-15
jet_a_reference,0.01,0.005,1.02,0.7,True,17,50.537684937681156,349.00997553838016,0.025047485699145357,205.74558786586036,109170.67838866585,1.0583817428409232,1742.0231080107458,-7.278557380519194e-15,4.639000381963812e-14
jet_a_reference,0.01,0.005,1.02,0.8,True,16,66.46158179957025,472.0916704286558,0.029624922599821846,228.76668208270067,112043.57877187955,1.0862337756346458,2089.8976842916413,2.0863600178048177e-15,4.6380318386795913e-14
jet_a_reference,0.01,0.005,1.02,0.9,True,16,89.92374498741886,598.0567826780104,0.03341658006689754,274.4048029804177,115042.26432818282,1.115305263438478,2472.461956946865,-1.4452012001474735e-15,-3.5346425369274185e-14
jet_a_reference,0.01,0.005,1.02,1.0,True,15,100.61113854803551,731.4003819700891,0.038470096293191224,266.6871650169448,118281.93213215258,1.1467130123615359,2600.0000000000005,5.720561639679087e-15,-5.246949768748321e-14
jet_a_reference,0.01,0.005,1.02,1.1,True,15,101.58806142923724,734.0738872948028,0.04225939690998562,245.13126276989786,118347.58006647386,1.147349452256995,2600.0,1.0641448996564073e-14,-1.577278148651008e-15
jet_a_reference,0.01,0.005,1.03,0.7,True,17,50.500458027186106,349.00997553838016,0.025047485699145743,205.59403219816724,109170.67838866585,1.0583817428409232,1742.0231080170329,-5.0951588887581664e-15,4.661052313539829e-14
jet_a_reference,0.01,0.005,1.03,0.8,True,16,66.35054866969736,472.0916704286558,0.029638628559526002,228.27888302114323,112043.57877187955,1.0862337756346458,2089.897684287651,2.023876868800872e-15,4.2309399879767254e-14
jet_a_reference,0.01,0.005,1.03,0.9,True,16,89.92277813767618,598.056782678081,0.03341678998521996,274.4001288680392,115042.26432818451,1.1153052634384943,2472.461956946865,-5.734140738070636e-16,-2.7080369916356677e-14
jet_a_reference,0.01,0.005,1.03,1.0,True,15,100.61275518063289,731.4003819700891,0.03846970426965025,266.6941678857964,118281.93213215258,1.1467130123615359,2600.0000000000005,4.898883062254878e-15,-5.635982841752498e-14
jet_a_reference,0.01,0.005,1.03,1.1,True,15,101.58963049680328,734.0738872948028,0.042258979297791384,245.13747139520106,118347.58006647386,1.147349452256995,2600.0,9.476937674748998e-15,-1.0772912347155807e-14
jet_a_reference,0.01,0.005,1.05,0.7,True,17,50.500458027186106,349.00997553838016,0.025047485699145743,205.59403219816724,109170.67838866585,1.0583817428409232,1742.0231080170329,-5.0951588887581664e-15,4.661052313539829e-14
jet_a_reference,0.01,0.005,1.05,0.8,True,16,66.284994937816,472.0916704286558,0.0296468505199318,227.99009955478522,112043.57877187955,1.0862337756346458,2089.89768428531,1.4071009308121056e-15,3.550065539275225e-14
jet_a_reference,0.01,0.005,1.05,0.9,True,16,89.92162236243041,598.0567826781805,0.03341704098192541,274.3945410063225,115042.26432818691,1.1153052634385174,2472.461956946865,2.5236316716632947e-15,-3.330941646629775e-14
jet_a_reference,0.01,0.005,1.05,1.0,True,15,100.61532995150958,731.4003819700891,0.03846907973542377,266.7053226417605,118281.93213215258,1.1467130123615359,2600.0000000000005,6.214715749605009e-15,-5.896602528690112e-14
jet_a_reference,0.01,0.005,1.05,1.1,True,15,101.59181774342392,734.0738872948028,0.042258397000846645,245.14612718696506,118347.58006647386,1.147349452256995,2600.0,1.0380464864459723e-14,-1.3401854185435285e-14
jet_a_reference,0.01,0.005,1.08,0.7,True,17,50.500458027186106,349.00997553838016,0.025047485699145743,205.59403219816724,109170.67838866585,1.0583817428409232,1742.0231080170329,-5.0951588887581664e-15,4.661052313539829e-14
jet_a_reference,0.01,0.005,1.08,0.8,True,16,66.284994937816,472.0916704286558,0.0296468505199318,227.99009955478522,112043.57877187955,1.0862337756346458,2089.89768428531,1.4071009308121056e-15,3.550065539275225e-14
jet_a_reference,0.01,0.005,1.08,0.9,True,16,89.92162236243041,598.0567826781805,0.03341704098192541,274.3945410063225,115042.26432818691,1.1153052634385174,2472.461956946865,2.5236316716632947e-15,-3.330941646629775e-14
jet_a_reference,0.01,0.005,1.08,1.0,True,15,100.61532995150958,731.4003819700891,0.03846907973542377,266.7053226417605,118281.93213215258,1.1467130123615359,2600.0000000000005,6.214715749605009e-15,-5.896602528690112e-14
