generation,best_score,mean_score,feasible_count,population_size,nominal_peak_mach,adverse_peak_mach,nominal_meets_duration,adverse_meets_duration,mass_margin_kg,body_diameter_m,throat_diameter_m,exit_to_throat_area_ratio,loaded_fuel_mass_kg,ramjet_fuel_fraction,climb_angle_deg,dive_angle_deg,dive_entry_mach
10,-5930.0,-5930.061432438218,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.11,1.1534836126637016,2.5,0.8,7.861576623754439,-6.183074364897633,0.7160523686931973
11,-5930.0,-5930.0,24,24,0.48838415562584636,0.3213088407923615,False,False,5.300000000000001,0.195,0.11,1.02,2.5,0.7717517826170738,3.0,-3.0,0.32758723613101665
12,-5930.0,-5930.0,24,24,0.39583753317406933,0.4135474288365842,False,False,5.300000000000001,0.195,0.11,1.0387439762169215,2.5,0.6683621996931776,3.0,-7.753890531669772,0.3
13,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.16671598672842497,1.0544906075141018,2.5,0.6683621996931776,14.682332687878828,-15.144518773967143,0.3
14,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.1340592271569983,1.0544906075141018,2.5,0.6541700266334569,13.809315628362906,-4.422912203381946,0.41007381383204367
15,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.11,1.02,2.5,0.6541700266334569,15.0,-18.046923644245947,0.78
16,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.15276782443136125,1.02,2.5,0.2673896107689918,15.0,-18.046923644245947,0.4155941077978431
17,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.15276782443136125,1.1238800834902156,2.5,0.8,14.816251217345489,-6.84056000338781,0.5249670593448692
18,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.11287455640470884,1.02,2.5,0.8,9.687970678477209,-6.84056000338781,0.5249670593448692
19,-5930.0,-5930.0,24,24,0.12469495614017655,0.12469495614017655,False,False,5.300000000000001,0.195,0.11287455640470884,1.02,2.5,0.6215129374573279,15.0,-10.930110528216927,0.657388337984851
